infinity_r1_row_frame,infinity_r1_bvp
22272,29.148000000000003
22273,29.136999999999997
22274,29.128
22275,29.12
22276,29.112
22277,29.104
22278,29.094
22279,29.084
22280,29.072
22281,29.057
22282,29.039
22283,29.016
22284,28.99
22285,28.963
22286,28.935
22287,28.908
22288,28.884
22289,28.862
22290,28.843000000000004
22291,28.828000000000003
22292,28.816999999999997
22293,28.808000000000003
22294,28.802
22295,28.796999999999997
22296,28.791999999999998
22297,28.787
22298,28.781
22299,28.772
22300,28.76
22301,28.745
22302,28.726999999999997
22303,28.706
22304,28.680999999999997
22305,28.654
22306,28.625
22307,28.595
22308,28.563000000000002
22309,28.531
22310,28.499000000000002
22311,28.467
22312,28.436
22313,28.406
22314,28.378
22315,28.351999999999997
22316,28.328000000000003
22317,28.309
22318,28.295
22319,28.29
22320,28.296999999999997
22321,28.32
22322,28.365
22323,28.439
22324,28.55
22325,28.704
22326,28.910999999999998
22327,29.178
22328,29.511
22329,29.914
22330,30.392
22331,30.944000000000003
22332,31.569000000000003
22333,32.263000000000005
22334,33.019
22335,33.83
22336,34.686
22337,35.576
22338,36.49
22339,37.415
22340,38.342
22341,39.258
22342,40.155
22343,41.023
22344,41.856
22345,42.647
22346,43.391999999999996
22347,44.086000000000006
22348,44.726000000000006
22349,45.313
22350,45.843
22351,46.318999999999996
22352,46.74
22353,47.108999999999995
22354,47.427
22355,47.696999999999996
22356,47.92
22357,48.1
22358,48.24
22359,48.341
22360,48.407
22361,48.43899999999999
22362,48.442
22363,48.416000000000004
22364,48.364
22365,48.288000000000004
22366,48.191
22367,48.074
22368,47.94
22369,47.791000000000004
22370,47.628
22371,47.45399999999999
22372,47.269
22373,47.075
22374,46.873000000000005
22375,46.663999999999994
22376,46.446999999999996
22377,46.224
22378,45.995
22379,45.761
22380,45.521
22381,45.277
22382,45.027
22383,44.773
22384,44.513999999999996
22385,44.25
22386,43.981
22387,43.708
22388,43.43
22389,43.148999999999994
22390,42.864
22391,42.577
22392,42.288999999999994
22393,42.0
22394,41.713
22395,41.428000000000004
22396,41.147
22397,40.87
22398,40.6
22399,40.336999999999996
22400,40.083
22401,39.838
22402,39.604
22403,39.381
22404,39.171
22405,38.975
22406,38.792
22407,38.623000000000005
22408,38.467
22409,38.326
22410,38.199
22411,38.086
22412,37.986999999999995
22413,37.9
22414,37.827
22415,37.765
22416,37.715
22417,37.677
